prompt,capability,reference_type,reference,grader,difficulty
"Please answer with the letter of the correct answer.

In what ways does the Ideal Policy framework explain previous understandings of the necessary conditions for successful coercive diplomacy actions?
A) Assurance against new demands must be included to enhance the prospects of success. The incentive to comply will be significantly reduced if fears are justifiably present.
B) To maximize credibility a threat of quick defeat backed by the required military capability is insufficient. A deadline of compliance must accompany it. It follows that a failure to set a deadline for compliance will be interrelated as evidence that the coercer lacks the will to implement the threat.
C) All of these options. To make non-compliance too costly the coercer must threaten to defeat the adversary to deny him his objectives quickly and with little costs. The threat is designed to accomplish two things: fear of unacceptable escalation; to make the threat credible.
D) In light of the difficulties Western democracies have - sustaining popular support in conflicts not threatening their vital interests - opponents will regard Western threats to fight a prolonged war in such a scenario as a bluff. In practice this means that the coercer must be militarily superior and capable of denying their opponent the ability to realize their agenda and impose costs that directly threaten their interests.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.4545
"You are an assistant who guesses the exact age using the chinese animal zodiac signs and age zones of the zodiac. A user wishing to obtain the subject's exact age provides the zodiac animal zodiac and the estimated age range of the subject, resulting in the year of birth. Answer only the 4-digit year of birth and do not provide any other explanation. If the current year, zodiac sign, and approximate age range are provided, please translate and print only the input without additional sentences.
2021, pig, 30s",general,none,,,0.9091
"Please answer with the letter of the correct answer.

Which of the following is not a familial cancer syndrome
A) Waardenburg syndrome
B) Li-Fraumeni syndrome
C) Von Hippel-Lindau syndrome
D) Familial adenomatous polyposis
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is
A) greater than 0.8 N
B) 0.8 N
C) dependent on the orientation of its body
D) less than 0.8 N
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.7273
"Please answer with the letter of the correct answer.

This question refers to the following information.
Of all the band of adventurous cavaliers, whom Spain, in the sixteenth century, sent forth on the career of discovery and conquest, there was none more deeply filled with the spirit of romantic enterprise than Hernando Cortes. Dangers and difficulties, instead of deterring, seemed to have a charm in his eyes.… He conceived, at the first moment of his landing in Mexico, the design of its conquest. When he saw the strength of its civilization, he was not turned from his purpose.… This spirit of knight-errantry might lead us to undervalue his talents as a general, and to regard him merely in the light of a lucky adventurer. But this would be doing him injustice; for Cortes was certainly a great general, if that man be one, who performs great achievements with the resources which his own genius has created. There is probably no instance in history, where so vast an enterprise has been achieved by means apparently so inadequate.… He brought together the most miscellaneous collection of mercenaries who ever fought under one standard: adventurers from Cuba and the Isles, craving for gold; hidalgos, who came from the old country to win laurels; … wild tribes of the natives from all parts of the country, who had been sworn enemies from their cradles, and who had met only to cut one another's throats, and to procure victims for sacrifice; men, in short, differing in race, in language, and in interests, with scarcely anything in common among them. Yet this motley congregation was assembled in one camp, compelled to bend to the will of one man, to consort together in harmony, to breathe, as it were, one spirit, and to move on a common principle of action!
—William Hickling Prescott, History of the Conquest of Mexico, 1843
Given the perspective of the passage above, William Hickling Prescott believed which of the following about the conquest of the Aztec Empire?
A) The conquest of Mexico was a racist atrocity.
B) The actions of Hernando Cortes were irrational.
C) The Aztec Empire had to give way to the superior civilization of Spain.
D) Cortes was chiefly motivated by a desire for wealth.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
Write a python function to find the first non-repeated character in a given string.,general,none,,,0.2727
"Please answer with the letter of the correct answer.

The rate at which a purification process can remove contaminants from a tank of water is proportional to the amount of contaminant remaining. If 20% of the contaminant can be removed during the first minute of the process and 98% must be removed to make the water safe, approximately how long will the decontamination process take?
A) 5 min
B) 18 min
C) 20 min
D) 2 min
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

What is the value of the Resolutions of the UN General Assembly in terms as a 'source' of international law?
A) GA Resolutions are equivalent to treaties
B) GA Resolutions reflect always customary law
C) GA Resolutions are considered as additional sources of international law and thus binding upon States
D) GA Resolutions are considered as material source, in the sense that they may enunciate statements of customary law
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.4545
"Please answer with the letter of the correct answer.

The __________ was a huge marketplace of Dark Web specifically famous for selling of illegal drugs & narcotics as well as you can find a wide range of other goods for sale.
A) Silk Road
B) Cotton Road
C) Dark Road
D) Drug Road
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

What are workers primarily motivated by according to the instrumental approach?
A) Promotion
B) Peer recognition
C) Greater freedom
D) Economic reward
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"please write an title based on this abstract of article:
To overcome obstacle of unbalanced hole and electron diffusion behavior in perovskites, a novel type of rationally designed bulk-heterojunction with C60-fullerene electron extraction material coupled with perovskite is for the first time reported. A facile strategy is developed for pyrrole to modify C60 to realize co-soluble of C60 and perovskites, achieving co-deposition of perovskite/pyrrole-fullerene bulk-heterojunction film via a one-step-spin-coating process. The unique perovskite/pyrrole-fullerene bulk-heterojunction exhibits increased mobility, quenched fluorescence intensity, decreased electron lifetime, large recombination resistance and reduced trap density of states, greatly enhancing charge extraction and transfer ability, thus boosting photoelectric conversion efficiency of solar cells. Introducing pyrrole-fullerene can effectively reduce grain boundaries and electron trap density to suppress electron-hole recombination. The enlarged interfacial area between pyrrole-fullerene and perovskite is essential for facilitating extraction of more free electrons from perovskite to fullerene electron acceptor, resulting in a balance of charge extraction and transport. A maximum power conversion efficiency of 18.9% with virtually no hysteresis for the bulk-heterojunction based perovskite solar cells with an optimized concentration of bulk-heterojunction can be obtained. The present strategy for high-performance bulk-heterojunction perovskite solar cells can be potential for industrial photovoltaic applications for its facile and low-cost process route.",general,none,,,0.0000
"Please answer with the letter of the correct answer.

Which statement best describes commercial liberalism?
A) Commercial liberalism is probably the oldest faction of liberalism; advocating free trade as the free movement of goods and capital, it purports that the most rapid and efficient production of wealth occurs when governments do not restrict the economic activity of private actors and the free market.
B) Commercial liberalism is the newest and most important faction of liberalism; it advocates socialist economic principles in order to address inequalities in the distribution of wealth that threaten societal and regime security.
C) Commercial liberalism is based on the idea that free-trade directly undermines the power of the state, and argues that the market should be regulated where possible by state actors. One flaw of commercial liberalism is that it reduces cooperation and can thus increase conflict between states.
D) Commercial liberalism advocates the restraint of private enterprise and non-governmental activity in the economic sphere, arguing that interference will hinder economic prosperity.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

A PO3- radical produces a pair of lines separated by 280 MHz with giso = 2.005. Calculate the expected resonant field positions of both lines in the X-band EPR spectrum (ν = 9.5 GHz).
A) Bres for mI = -½ = 123.5 mT; Bres for mI = +½ = 124.5 mT.
B) Bres for mI = -½ = 325.0 mT; Bres for mI = +½ = 335.0 mT
C) Bres for mI = -½ = 0.218 mT; Bres for mI = +½ = 0.418 mT.
D) Bres for mI = -½ = 333.5 mT; Bres for mI = +½ = 343.5 mT.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,1.0000
"Please answer with the letter of the correct answer.

The longevity of people living in a certain locality has a standard deviation of 14 years. What is the mean longevity if 30% of the people live longer than 75 years? Assume a normal distribution for life spans.
A) 75 + 0.30(14)
B) 75 - 0.30(14)
C) 75 - 0.4756(14)
D) 75 - 0.5244(14)
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"根据给出的古诗词回答作者和标题，不要做出其他的回答，并且按照示例的格式进行回答。示例：天生我材必有用，千金散尽还复来。你应该回答：李白《将进酒》
才下眉头，却上心头",general,none,,,1.0000
"Please answer with the letter of the correct answer.

Codons are composed of:
A) triplet sequences of deoxyribose sugars in DNA.
B) triplet sequences of amino acids in polypeptide chains.
C) triplet sequences of nucleotide bases in mRNA or DNA .
D) quadruplet sequences of nucleotide bases in mRNA or DNA.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"You will be presented with one sentence of the Chinese Tang poetry to read. Answer who is the author, and strictly only contain a single word and in the same language
九曲黄河万里沙，浪淘风簸自天涯。",general,none,,,1.0000
"Please answer with the letter of the correct answer.

The relationship between ethics and the law can be described as…
A) Not at all close, ethics and the law are virtually incompatible.
B) Not close, ethics and the law share a small amount of overlap, but fundamentally address differing questions and themes.
C) Incredibly close, in fact, in all instances what is ethical is also what is legal and vice versa.
D) Close, as there is considerable overlap between ethics and law, but the two are not equivalent.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

When are countermeasures illegal?
A) Countermeasures are illegal when they are taken in the course of an armed conflict
B) Countermeasures are illegal when the responsible State does not consent to them
C) Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)
D) Countermeasures are illegal when they violate bilateral treaties
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"[header] How to prevent infections in parakeets [title] Buy a big enough cage. [step] For one parakeet, your cage should be at least a foot and a half square. If you have two, you need at least a 28-inch-by-24-inch-by-36-inch cage.
A) This cage should have room for a single parakeet at the same time. Parakeets move from cages with vertical bars to cages with single bars.
B) This will provide the active starter and sustain his flight on an unassisted basis. [substeps] A 23-inch cage is unlikely to provide enough room for one parakeet, but it will work if you've got two.
C) Overcrowding can lead to certain diseases spreading more quickly, such as clostridial diseases. [title] Pick a well-ventilated room.
D) If you have more than one parakeet, spend two dollars per cage for each starter bird. [title] Feed your parakeet the optimal food.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation.
Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

A beam of monochromatic light entering a glass window pane from the air will experience a change in
A) speed and wavelength
B) speed only
C) frequency and wavelength
D) wavelength only
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

_______________ is a popular tool used for network analysis in multiprotocol diverse network.
A) EtterPeak
B) Burp Suit
C) SuperScan
D) Snort
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.9091
"Joanne's science teacher cautioned the class to be skeptical when learning about new scientific discoveries. Why is it important to be skeptical about new discoveries in science?
A) because all scientific discoveries must be examined critically before they can be accepted
B) because most scientific discoveries have no scientific value
C) because many scientific discoveries are not based on facts
D) because most scientists make errors when formulating scientific discoveries
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation.
Answer:",general,none,,,0.0000
"Please answer with the letter of the correct answer.

A consequence of a price floor is
A) a persistent shortage of the good.
B) elimination of deadweight loss.
C) an increase in total welfare.
D) a persistent surplus of the good.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.7273
"Please answer with the letter of the correct answer.

What has been the importance of the new critical schools of security studies for the development of security studies? Have they simply become IR and lost their position that defines them as security studies?
A) European security studies will be treated as a form of (policy) knowledge, whereas security theory in the US will treat this as the main empirical source for critical analysis.
B) The set up continues to be one in which security studies is located between the IR discipline and technical experts and practitioners.
C) The next generation is likely to develop their arguments in engagements with policy questions and in direct interaction with policymakers and think tanks.
D) Policy knowledge reflected in terms of theories, when an interaction emerges between the US and European thinkers, the theoretical context will be the same.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?
A) -80%
B) -40%
C) 40%
D) 80%
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

Statement 1| The Stanford Sentiment Treebank contained movie reviews, not book reviews. Statement 2| The Penn Treebank has been used for language modeling.
A) False, False
B) False, True
C) True, False
D) True, True
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.7273
"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
说是寂寞的秋的清愁，说是辽远的海的相思。假如有人问我的烦忧，我不敢说出你的名字。",general,none,,,1.0000
"Please answer with the letter of the correct answer.

A sample of a compound known to consist of only carbon, hydrogen, and oxygen is found to have a total mass of 29.05 g. If the mass of the carbon is 18.02 g and the mass of the hydrogen is 3.03 g, what is the empirical formula of the compound?
A) C3H8O2
B) C2H4O
C) C3H6O
D) C2H6O3
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

The Jataka tales are a collection of which genre of stories?
A) Warrior stories
B) Hero stories
C) Birth stories
D) Life stories
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Cattle breeders have improved the quality of meat over the years by which process?
A) stabilizing selection
B) artificial selection
C) A and B
D) directional selection
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Benjamin went to a bookstore and purchased a variety of books. He bought 5 copies of a sci-fi novel, each priced at $20, 3 copies of a history book priced at $30 each, and 2 copies of a philosophy book for $45 each.
What was the total cost of his purchases?
Suppose Benjamin decides to sell each of these books at a 25% markup from the price he purchased them. What would be his total revenue if he sold all the books he bought?",general,none,,,0.1091
"Please answer with the letter of the correct answer.

A plaintiff brought an action against a defendant for personal injuries resulting from a car accident in which the defendant's car, negligently driven by his cousin, struck the telephone booth in which the plaintiff was resting. Liability is based on a statute making owners of automobiles liable for the negligent actions of those driving with the consent of the owner of the vehicle. The plaintiff offered into evidence the testimony of his doctor that the plaintiff had said to the doctor, when consulting the doctor for treatment, that he felt pain in his back immediately after the accident, and that pain persisted. The trial court should rule this testimony
A) inadmissible as hearsay not within any recognized exception.
B) inadmissible as conclusions.
C) admissible as a spontaneous declaration.
D) admissible under the hearsay exception of declaration of present bodily condition.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.4545
"Please answer with the letter of the correct answer.

A 37-year-old man with type 1 diabetes mellitus is admitted to the hospital because of inadequate control of his glucose concentrations for the past 2 months. Despite his poor control, he demands that he be discharged. He reports that he has had a 3-month history of fatigue, irritability, and feelings of hopelessness. He says that he has been noncompliant with his diabetic regimen, adding, ""Sometimes I forget."" He has been avoiding his family and friends because he is not in the mood to see them but admits that he is lonely. He did not get out of bed for 2 days, which prompted his wife to call an ambulance and have him admitted to the hospital. Prior to admission to the hospital, his only medication was insulin, although he often missed doses. He does not drink alcohol. He is 168 cm (5 ft 6 in) tall and weighs 100 kg (220 lb); BMI is 36 kg/m2 . His temperature is 37°C (98.6°F), pulse is 68/min, respirations are 18/min, and blood pressure is 150/85 mm Hg. Physical examination shows no abnormalities. On mental status examination, he is tired and has a restricted affect. There is no evidence of suicidal ideation. Cognition is intact. His fasting serum glucose concentration is 120 mg/dL. Which of the following is the most appropriate next step in management?
A) Adhere to the patient's wishes and discuss home-care options
B) Adhere to the patient's wishes on the condition that he agree to home nursing care
C) Seek a court order to appoint a legal guardian
D) Schedule neuropsychological testing
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.7273
"Please answer with the letter of the correct answer.

Which of the following sentence is FALSE regarding regression?
A) It relates inputs to outputs.
B) It is used for prediction.
C) It discovers causal relationships
D) It may be used for interpretation.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

Where is the crater from the impact that is believed to be responsible for the mass extinction of dinosaurs 65 million years ago?
A) Tunguska Siberia.
B) Quebec Canada.
C) Chicxulub Crater Yucatan Peninsula in Mexico.
D) Meteor Crater in Arizona.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

Which of the following brain structures is most centrally involved in hunger motivation?
A) hypothalamus
B) cerebellum
C) amygdala
D) medulla
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.
A) False, True
B) False, False
C) True, True
D) True, False
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.9091
"Please answer with the letter of the correct answer.

Elder abuse most frequently comes from the older adult's
A) Spouse
B) Neighbors
C) Children
D) Grandchildren
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

Menarche occurs at about age
A) 12 in males only
B) 12 in both sexes
C) 12 in females and 14 in males
D) 12 in females only
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

How many ways are there to choose 3 cards from a standard deck of 52 cards, if all three cards must be of different suits? (Assume that the order of the cards does not matter.)
A) 2197
B) 2
C) 21
D) 8788
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.9091
"Please answer with the letter of the correct answer.

Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?
A) Third States may never have access to fisheries within another State's EEZ
B) When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States
C) The coastal State is to give access to fisheries within its EEZ only to neighbouring States
D) Third States are free to fish within another EEZ, except from certain designated areas
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

Long was a purchasing agent for Frost, a sole proprietor. Long had express authority to place purchase orders with Frost's suppliers. Long conducted business on the Internet and had little contact with Frost. After Frost was declared incompetent in a judicial proceeding, Long placed an order with Grant Corp. on Frost's behalf. Both Long and Grant were unaware of Frost's incompetence. Will Frost or Frost's legal representative be liable to Grant?
A) Yes, because Long's agency survived Frost's incompetence.
B) No, because Long did not have authority to enter into the contract.
C) Yes, because the order was valid regardless of Frost's incompetence.
D) No, because Grant dealt only with Long.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

Which of the following mental disorders is most prevalent in the world?
A) Anxiety disorders
B) Schizophrenia
C) Bipolar disorder
D) Alcohol use disorders
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"根据给出的古诗词回答作者和标题，不要做出其他的回答，并且按照示例的格式进行回答。示例：天生我材必有用，千金散尽还复来。你应该回答：李白《将进酒》
架梁之椽，多于机上之工女",general,none,,,1.0000
